ID_Mahasiswa;Gender;IPS_Sem1;IPS_Sem2;IPS_Sem3;IPS_Sem4;Total_SKS_Ambil;Total_SKS_Lulus;Nilai_Matkul_Killer;Jml_Mengulang;Status_Beasiswa;Bekerja;Label_Lulus
MHS206;1;3.606.865.718.862.920;2.929.978.574.028.880;34.442.994.401.654.300;33.672.245.167.438.200;144;123;2;2;0;1;1
MHS207;1;31.998.439.758.763.200;26.743.215.531.040.800;27.356.916.591.251.200;32.931.820.093.775.400;92;69;4;4;1;0;1
MHS208;0;31.203.765.897.442.800;4.0;3.282.754.822.815.770;2.119.618.620.422.090;98;69;3;3;0;0;1
MHS209;1;24.034.226.769.506.300;28.835.532.933.814.500;36.634.047.100.209.900;31.235.133.218.025.500;74;72;1;3;1;0;1
MHS210;1;31.694.325.785.258.700;3.408.435.890.010.200;35.499.524.754.589.400;25.709.472.276.159.000;115;109;3;2;1;0;1
MHS211;1;31.389.915.323.713.500;37.274.053.224.958.700;2.275.071.717.259.540;2.446.845.909.385.820;139;116;3;4;1;1;1
MHS212;0;38.634.819.256.167.000;2.800.181.907.192.690;3.112.342.362.875.940;3.466.295.415.936.540;106;101;1;5;1;0;1
MHS213;0;27.919.029.986.349.200;24.096.089.686.748.300;3.490.242.499.760.280;2.872.059.321.164.730;83;81;4;4;1;1;1
MHS214;0;2.877.900.082.403.780;30.554.105.475.669.000;4.0;28.305.701.649.503.200;88;61;4;2;0;0;1
MHS215;1;32.275.463.684.548.200;2.591.287.411.989.410;32.766.363.444.754.700;2.753.120.028.819.770;88;73;1;3;1;0;1
MHS216;0;25.783.696.978.531.200;29.323.785.521.839.800;32.400.297.900.433.400;23.172.689.889.039.000;116;106;1;3;1;0;1
MHS217;0;3.930.902.891.834.810;2.461.654.915.387.430;28.251.939.066.110.900;31.308.314.863.482.300;139;125;2;3;0;0;1
MHS218;0;3.178.083.438.612.420;3.024.337.419.163.410;3.255.868.834.539.500;25.723.347.428.053.700;139;123;3;4;0;0;1
MHS219;0;2.766.981.749.065.870;2.202.648.466.366.600;32.568.000.532.848.500;2.733.649.580.169.040;143;139;4;5;1;1;1
MHS220;1;2.986.242.547.474.680;3.886.125.798.334.870;3.830.629.607.273.930;2.771.451.871.706.860;139;131;2;5;1;1;1
MHS221;1;3.364.234.956.236.460;29.128.124.848.173.400;2.840.496.166.623.580;29.908.415.702.785.700;93;82;2;5;1;1;1
MHS222;0;3.177.511.227.210.750;28.894.434.523.557.400;25.798.592.846.714.300;25.385.849.051.365.800;123;114;1;4;1;1;1
MHS223;0;27.369.609.838.940.200;29.929.902.308.712.000;3.050.822.143.844.750;24.344.868.042.540.200;102;76;3;5;0;0;1
MHS224;1;3.175.644.404.712.270;3.844.946.728.313.140;35.798.956.226.446.500;2.811.542.887.293.050;83;59;1;1;0;1;1
MHS225;0;244.480.024.135.199;32.835.277.586.940.500;23.334.213.446.731.700;4.0;81;57;1;0;0;1;1
MHS226;0;26.327.042.116.009.700;25.948.737.814.928.000;31.002.845.986.154.700;35.743.186.747.143.500;93;65;1;1;1;1;1
MHS227;0;3.088.220.777.638.610;2.816.486.080.458.330;258.620.488.967.564;30.430.719.415.231.800;139;138;1;1;0;0;1
MHS228;1;24.378.537.028.970.800;33.250.951.903.653.700;3.816.326.248.848.560;2.869.543.866.941.430;145;122;3;5;1;0;1
MHS229;1;2.0;29.817.333.250.406.900;30.642.258.687.988.700;3.532.930.499.380.810;137;124;4;5;0;1;1
MHS230;1;2.819.763.297.897.700;3.255.707.750.464.970;3.158.735.967.365.540;2.984.040.752.678.310;95;79;3;1;0;1;1
MHS231;1;2.358.530.335.350.850;2.539.064.514.198.360;3.632.289.188.669.230;2.768.417.566.764.260;108;89;3;0;0;1;1
MHS232;0;30.566.352.052.688.800;22.808.610.108.413.100;34.596.144.672.876.000;2.665.927.957.230.500;105;101;1;0;0;0;1
MHS233;1;30.243.343.684.415.200;3.478.428.439.637.780;4.0;2.084.804.434.045.420;71;65;4;2;0;0;1
MHS234;0;28.326.123.339.467.200;2.798.175.768.379.000;25.224.387.103.253.200;32.117.995.327.967.300;73;44;2;5;1;0;1
MHS235;1;31.700.588.532.023.200;2.728.765.966.646.900;24.711.421.759.649.700;2.979.492.289.498.260;99;87;2;3;1;1;1
MHS236;1;24.054.943.588.099.800;28.723.740.289.488.700;3.016.362.245.770.350;28.665.426.439.928.300;137;113;4;1;1;1;1
MHS237;1;2.597.314.086.474.820;32.982.211.697.803.300;3.135.487.269.423.090;31.520.964.597.767.100;119;114;3;3;1;0;1
MHS238;0;31.383.545.219.524.900;3.366.070.281.742.550;24.451.772.477.396.200;25.800.873.762.739.100;72;61;4;5;1;1;1
MHS239;0;27.008.160.948.848.900;3.820.523.314.864.470;3.124.599.271.367.820;32.107.367.249.379.500;127;117;1;5;0;0;1
MHS240;1;3.201.865.045.168.300;2.987.902.196.804.540;2.548.149.069.634.930;31.621.796.408.608.000;85;84;2;2;1;1;1
MHS241;1;25.384.336.947.710.700;32.519.092.092.200.900;3.433.923.471.515.640;2.810.956.949.508.330;116;111;3;4;0;0;1
MHS242;0;37.289.776.167.828.400;2.742.167.983.078.890;29.006.304.819.916.800;3.150.077.792.497.860;78;76;4;4;0;1;1
MHS243;0;31.363.488.967.649.600;33.251.908.943.606.300;2.516.843.807.117.430;3.075.068.058.185.690;115;110;2;3;0;1;1
MHS244;1;312.646.840.713.254;2.968.276.968.027.920;29.062.329.399.725.600;2.528.717.304.278.460;94;87;4;5;1;1;1
MHS245;0;31.941.213.238.926.700;2.651.790.103.538.690;3.421.707.154.698;3.247.606.476.562.050;114;108;2;0;0;1;0
MHS246;0;4.0;3.266.015.096.646.220;2.264.154.278.664.650;28.689.131.485.680.700;122;94;4;0;1;0;1
MHS247;1;2.149.897.562.725.960;3.264.151.517.333.450;3.372.702.098.672.700;25.570.420.020.203.600;110;107;3;3;1;1;1
MHS248;1;34.751.537.959.867.800;38.553.066.862.909.600;29.477.753.907.312.600;2.915.589.138.404.990;117;88;4;2;0;1;1
MHS249;1;30.350.260.815.565.900;35.809.391.513.040.900;2.536.323.432.904.710;31.191.844.913.673.900;142;114;1;3;0;0;1
MHS250;1;30.947.908.082.993.700;35.005.230.462.835.700;2.0;3.338.937.659.765.450;145;124;4;5;0;0;1
MHS251;0;25.066.805.076.802.100;27.657.085.340.449.900;37.160.850.717.623.100;28.642.377.622.543.000;120;117;3;3;1;1;1
MHS252;1;2.552.000.596.592.740;2.534.559.402.903.290;31.766.036.972.539.200;2.990.107.342.392.510;141;119;2;5;1;0;1
MHS253;1;27.802.056.444.841.100;2.0;2.889.902.686.496.020;2.0;109;96;3;4;1;1;1
MHS254;0;2.897.532.481.093.370;30.034.341.274.695.100;35.422.397.915.365.300;2.711.234.953.246.220;118;89;2;2;1;1;1
MHS255;0;26.104.241.740.358.500;29.028.342.272.898.300;2.556.889.828.195.290;31.343.307.133.418.800;120;94;3;0;0;0;1
MHS256;1;2.800.444.073.898.620;2.673.551.613.794.210;2.311.149.613.441.570;20.710.039.791.877.900;145;138;4;4;0;0;1
MHS257;1;24.009.079.836.988.300;35.146.108.956.169.400;3.343.931.663.593.500;3.209.832.761.299.030;115;93;2;4;0;0;1
MHS258;0;3.806.110.314.127.710;3.448.419.657.932.760;2.865.734.676.047.080;25.544.038.872.923.500;105;88;1;2;0;1;1
MHS259;1;29.343.715.164.538.400;3.038.425.941.479.380;2.887.572.009.095.960;26.749.987.095.882.700;108;107;3;4;0;1;1
MHS260;1;31.161.801.388.419.300;34.567.973.958.895.900;24.296.102.956.570.500;30.034.015.491.963.800;142;118;3;3;0;1;1
MHS261;1;3.029.175.502.142.730;26.276.078.966.367.300;2.151.451.307.506.870;26.772.152.856.757.600;134;112;1;1;0;0;1
MHS262;1;20.203.048.869.546.200;33.663.246.803.645.400;34.277.300.043.413.200;364.366.219.507.607;97;77;2;2;1;1;1
MHS263;0;30.405.314.353.468.200;2.597.504.669.534.850;31.311.811.901.618.300;35.255.970.054.930.200;101;99;3;3;1;0;1
MHS264;0;2.090.346.035.667.630;26.534.065.863.817.900;20.821.711.835.689.800;3.585.622.894.660.770;126;105;4;3;0;1;1
MHS265;0;2.366.552.764.238.070;30.221.296.930.351.600;2.797.891.494.013.190;30.647.056.291.377.900;134;134;3;3;0;0;1
MHS266;1;3.655.154.373.059.800;3.697.841.905.394.970;2.718.915.986.710.840;2.895.389.063.127.730;80;64;1;5;1;0;1
MHS267;1;2.382.825.564.060.030;2.703.767.870.423.550;29.867.971.215.205.300;31.400.805.794.098.000;73;57;1;1;0;1;1
MHS268;1;301.397.572.762.223;32.090.935.392.338.700;21.163.513.234.447.100;2.274.513.368.779.450;75;49;1;4;1;1;1
MHS269;0;2.793.145.416.162.690;35.354.476.156.698.000;2.762.613.177.258.140;2.0;75;72;2;3;0;0;1
MHS270;0;223.016.674.036.334;2.256.861.485.024.850;326.447.896.819.626;2.0;106;98;1;4;1;0;1
MHS271;1;33.282.406.059.175.400;27.546.139.350.885.500;35.311.171.651.748.000;2.766.282.828.087.510;120;95;1;4;1;0;1
MHS272;1;331.745.390.205.686;2.745.641.389.451.070;23.791.918.901.019.800;30.831.328.229.503.600;132;109;1;2;0;0;1
MHS273;1;2.0;28.569.978.890.599.400;35.504.798.174.992.800;39.791.737.271.102.900;88;84;3;4;1;1;1
MHS274;0;4.0;22.485.148.358.024.200;31.268.698.307.472.800;3.233.846.585.882.710;114;100;4;5;0;1;1
MHS275;0;2.660.735.332.317.620;30.378.361.470.236.100;28.191.773.611.571.700;39.839.494.714.640.600;81;76;1;2;0;1;1
MHS276;1;3.108.607.154.823.670;2.826.683.408.254.580;20.375.941.610.186.600;29.606.911.807.292.500;144;144;2;2;0;1;1
MHS277;0;3.681.336.931.183.520;25.842.490.285.219.500;2.946.702.619.542.670;34.775.770.584.504.100;120;106;3;3;0;0;1
MHS278;0;2.901.330.789.846.330;2.924.363.358.173.240;29.025.458.598.236.500;35.668.850.484.335.300;141;123;3;5;0;0;1
MHS279;0;4.0;30.961.413.371.995.200;39.785.318.202.708.200;2.879.292.794.789.890;112;110;2;1;1;1;0
MHS280;1;3.542.263.523.247.540;32.449.702.914.000.300;36.071.348.252.296.300;25.660.000.002.307.200;99;75;2;2;0;1;1
MHS281;1;36.046.330.554.843.600;2.280.217.973.311.900;30.902.916.033.041.800;30.726.193.583.908.300;104;103;3;0;1;1;0
MHS282;1;2.179.866.680.387.340;21.837.207.985.039.500;29.044.761.550.264.800;2.725.780.164.086.500;72;59;4;4;0;1;1
MHS283;1;3.195.306.588.864.680;3.396.466.470.242.950;29.317.762.683.229.100;2.191.083.047.220.830;135;134;2;4;1;0;1
MHS284;0;2.615.428.825.106.350;25.300.484.494.455.600;34.147.374.209.658.700;29.030.869.306.135.900;122;116;1;0;0;1;1
MHS285;0;3.740.619.274.294.400;27.607.112.776.892.600;32.990.288.482.264.500;25.753.065.424.220.400;101;72;2;1;1;1;1
MHS286;1;3.104.829.707.637.310;27.541.819.071.839.700;3.403.561.298.318.650;25.132.269.001.477.600;122;99;3;5;1;0;1
MHS287;1;31.962.079.835.893.800;27.455.181.871.462.500;29.872.128.439.040.000;2.115.462.047.555.440;147;146;2;1;0;0;1
MHS288;0;25.887.900.338.088.900;35.605.153.336.622.300;30.001.035.324.590.900;2.995.349.839.430.690;95;78;4;5;1;0;1
MHS289;0;2.516.465.878.263.960;4.0;32.398.937.214.920.800;2.913.056.679.205.410;133;105;4;2;0;0;1
MHS290;0;3.364.342.398.608.450;27.559.015.013.838.700;3.513.710.767.669.380;2.668.139.811.510.140;84;66;1;2;0;1;1
MHS291;1;30.924.066.353.820.900;3.230.209.864.720.020;33.690.401.874.548.200;3.055.444.739.443.880;124;115;3;4;0;0;1
MHS292;0;27.100.314.820.435.300;25.848.724.054.814.000;31.911.274.695.724.500;25.980.114.631.796.300;94;65;1;4;1;0;1
MHS293;0;27.809.450.878.782.000;3.069.888.484.883.110;3.203.962.508.757.140;2.937.512.106.820.860;97;89;3;1;1;1;1
MHS294;0;27.459.299.011.763.400;29.261.098.405.912.600;27.733.757.954.884.900;37.262.337.672.353.700;82;79;3;1;1;0;0
MHS295;0;3.196.232.570.563.290;3.314.797.068.196.980;3.574.711.718.000.630;32.865.660.263.462.400;114;102;2;0;1;1;1
MHS296;0;31.860.843.407.360.400;27.062.510.925.141.200;2.828.294.450.206.010;39.823.475.239.844.500;134;131;1;3;0;0;1
MHS297;0;2.128.075.941.683.550;30.595.092.030.269.800;2.237.340.454.883.270;24.330.922.024.565.500;83;74;3;0;0;0;1
MHS298;1;4.0;33.923.021.439.490.100;2.990.369.810.132.800;2.868.554.585.395.860;129;104;2;0;1;0;1
MHS299;1;25.670.667.814.354.700;26.403.783.310.185.100;2.618.425.588.428.140;30.678.769.399.588.300;116;87;1;1;0;1;1
MHS300;0;30.509.281.476.309.900;3.774.510.075.747.590;23.804.464.621.730.400;226.623.736.712.378;85;70;3;4;1;0;1
MHS301;0;3.177.896.487.463.830;3.384.258.557.074.770;36.309.669.383.657.600;30.898.592.265.492.200;141;129;2;2;1;1;1
MHS302;0;31.560.347.988.974.800;30.749.658.350.316.900;2.690.032.906.297.550;4.0;113;88;4;1;1;0;1
MHS303;0;3.268.545.416.530.570;3.025.813.188.355.600;2.897.136.204.586.010;26.749.916.656.647.700;128;103;4;1;0;1;1
MHS304;0;3.196.634.611.735.110;3.706.497.377.813.410;31.628.536.789.066;28.152.072.355.414.300;137;123;3;3;0;0;1
MHS305;0;3.319.258.930.297.240;288.161.569.851.797;2.868.510.598.109.660;20.821.443.629.794.800;116;108;2;1;1;0;1
MHS306;1;2.455.459.941.926.090;29.220.892.628.354.400;3.018.930.957.504.470;3.292.286.313.974.780;84;56;2;4;1;0;1
MHS307;1;34.207.641.710.198.700;26.911.816.953.028.700;4.0;2.052.763.465.581.510;82;53;3;5;1;0;1
MHS308;1;32.239.308.738.758.900;3.185.547.025.656.960;30.239.807.229.907.700;31.659.219.316.292.500;80;76;1;1;0;0;0
MHS309;0;25.887.842.113.725.600;36.584.794.183.433.500;25.816.860.353.546.800;3.791.612.764.846.250;149;148;2;4;1;1;1
MHS310;1;25.192.558.151.722.300;34.154.261.621.396.800;36.962.360.814.712.800;35.876.415.539.120.200;128;109;4;1;1;0;1
MHS311;1;3.568.853.101.357.380;31.747.974.996.801.400;2.725.426.511.477.140;3.634.839.419.801.060;97;88;3;2;0;1;1
MHS312;1;3.441.166.531.161.700;277.395.483.358.346;2.764.978.926.120.240;3.132.939.114.826.020;96;72;1;2;1;0;1
MHS313;0;2.820.829.923.989.380;26.762.290.971.824.200;33.720.959.857.499.600;29.093.879.133.909.400;70;46;1;0;0;1;1
MHS314;1;31.237.559.582.881.000;3.075.202.719.088.080;3.050.260.047.254.080;32.938.658.262.399.700;147;131;2;4;1;0;1
MHS315;1;2.079.835.481.882.910;3.805.085.764.689.300;2.598.013.800.596.510;3.373.044.059.769.840;134;118;2;1;1;0;1
MHS316;0;3.052.947.226.557.610;3.292.206.490.236.240;39.882.202.922.577.400;2.217.879.194.144.470;145;120;3;2;0;1;1
MHS317;0;2.905.439.804.611.480;346.082.505.596.223;2.936.225.439.811.230;37.555.774.651.236.700;84;67;4;4;0;1;1
MHS318;0;3.373.050.493.434.660;2.187.482.015.376.540;30.460.897.548.182.400;2.841.720.823.868.740;137;112;3;2;0;0;1
MHS319;0;26.735.210.043.710.900;3.606.690.699.952.490;30.315.896.137.782.500;36.551.923.510.849.800;118;96;1;3;0;0;1
MHS320;0;3.476.512.073.572.610;2.0;4.0;3.428.887.303.497.580;129;108;2;4;0;1;1
MHS321;1;2.634.243.298.051.830;24.884.022.443.408.500;24.850.326.645.471.200;2.625.484.264.522.450;120;99;3;3;1;1;1
MHS322;1;34.059.701.641.976.400;36.689.155.104.830.500;37.413.573.970.862.000;27.594.632.213.077.500;127;110;2;5;0;0;1
MHS323;1;2.767.797.868.845.300;32.310.304.466.259.400;33.916.952.546.412.900;2.874.230.556.977.750;108;93;4;5;0;1;1
MHS324;0;28.232.522.768.991.500;2.480.915.426.456.530;37.486.844.854.670.600;2.747.723.781.457.890;101;75;2;5;0;0;1
MHS325;0;28.376.132.633.604.100;4.0;3.237.683.017.173.600;2.926.828.823.172.580;94;68;1;4;1;0;1
MHS326;0;2.576.285.153.941.020;3.269.403.105.875.970;29.756.965.525.635.900;3.224.306.551.659.080;135;128;3;2;1;0;1
MHS327;0;35.437.320.870.157.400;3.462.080.911.927.950;2.788.683.219.639.220;3.338.299.008.307.920;110;82;1;4;1;1;1
MHS328;1;3.529.103.523.471.950;34.687.800.611.023.800;33.168.057.702.879.100;3.043.984.410.526.410;134;118;3;1;0;1;1
MHS329;1;33.970.700.300.380.800;2.889.872.699.251.950;31.280.274.321.416.200;2.838.381.017.738.950;102;89;2;4;0;1;1
MHS330;1;3.445.191.581.759.890;3.287.602.508.053.280;3.250.332.860.690.600;302.488.684.359.048;134;130;3;5;1;0;1
MHS331;1;31.218.185.235.137.600;36.933.790.330.655.700;25.018.041.554.164.600;28.600.634.569.169.800;143;119;4;3;1;0;1
MHS332;1;3.188.287.007.569.560;34.049.289.208.185.100;26.753.041.531.281.200;3.386.047.394.487.640;125;103;3;1;1;0;1
MHS333;0;2.327.257.581.873.880;33.410.297.542.884.000;28.038.426.156.330.400;27.887.436.327.889.700;81;52;1;2;0;0;1
MHS334;1;22.388.204.068.910.500;3.556.344.187.494.960;26.853.683.031.536.000;376.686.385.495.825;128;128;2;1;1;0;0
MHS335;0;2.744.832.508.396.120;31.058.748.590.405.600;2.748.459.730.447.670;2.374.965.755.396.800;102;90;4;5;0;0;1
MHS336;0;2.820.115.677.105.450;2.336.976.156.958.980;2.793.267.419.438.360;3.130.140.253.291.440;98;75;2;1;0;0;1
MHS337;1;3.016.398.497.705.790;26.207.523.326.499.600;28.847.996.428.971.100;2.537.883.427.865.840;138;121;2;3;0;0;1
MHS338;0;2.601.428.637.796.710;3.018.437.402.093.170;31.952.969.530.996.100;4.0;104;89;2;3;1;1;1
MHS339;1;30.437.891.094.767.900;31.979.678.378.133.800;29.583.078.623.628.500;30.928.462.948.705.200;123;104;4;2;1;0;1
MHS340;0;4.0;33.855.194.599.766.200;25.475.426.739.719.900;37.275.302.912.408.800;96;87;1;0;1;1;0
MHS341;1;2.438.727.596.877.790;25.412.485.894.928.600;35.088.307.334.217.500;3.135.747.655.412.820;134;116;2;0;1;0;1
MHS342;0;22.777.413.314.988.600;3.715.173.299.423.960;3.071.027.905.797;274.955.927.934.896;114;111;3;0;0;1;1
MHS343;0;29.451.152.480.919.200;3.248.742.628.652.820;2.807.308.336.237.390;3.210.226.238.623.770;101;96;4;5;0;1;1
MHS344;1;25.828.179.105.019.900;3.585.713.173.881.930;31.751.708.896.141.900;31.489.280.471.030.100;73;45;3;0;0;1;1
MHS345;0;38.747.919.521.027.100;36.907.270.393.452.400;2.353.868.652.447.190;3.344.853.902.622.590;109;103;1;4;0;0;1
MHS346;1;251.344.231.988.934;20.612.785.573.819.400;32.301.649.365.899.000;23.252.255.759.128.100;85;68;2;1;1;1;1
MHS347;0;2.299.790.219.834.610;31.033.873.899.172.000;37.085.102.064.908.100;33.406.697.515.928.000;77;59;2;1;0;0;1
MHS348;0;3.536.489.023.883.000;4.0;2.607.006.983.682.500;23.094.776.984.231.100;123;119;1;1;1;0;0
MHS349;0;3.499.664.855.619.870;2.881.461.504.557.210;3.527.333.289.384.380;3.218.040.977.563.620;109;106;2;3;0;0;1
MHS350;0;2.760.474.471.319.120;21.132.478.330.251.900;2.654.806.686.930.660;3.002.046.503.837.720;123;100;4;3;0;0;1
MHS351;0;33.686.456.582.735.200;2.920.691.661.474.330;30.212.412.694.615.800;24.980.544.603.905.800;143;116;1;1;0;0;1
MHS352;0;2.895.535.756.560.210;36.339.610.666.659.400;29.479.379.228.877.300;33.898.777.481.444.100;92;68;1;4;0;1;1
MHS353;1;3.055.341.202.827.910;3.062.849.911.088.490;33.078.503.646.812.700;27.174.131.841.970.100;74;71;2;1;0;1;0
MHS354;1;2.885.100.184.712.400;2.574.296.782.869.840;3.087.605.709.454.250;4.0;91;83;2;4;1;0;1
MHS355;0;27.450.707.311.178.500;2.0;28.935.958.692.591.900;29.813.130.701.006.900;142;114;3;4;0;0;1
MHS356;1;2.481.491.215.306.110;3.371.907.849.250.220;30.560.524.734.122.500;38.723.195.866.293.400;91;70;1;5;0;1;1
MHS357;0;328.630.405.395.705;3.174.345.225.878.620;3.156.768.983.641.750;25.592.831.957.709.600;105;104;1;1;1;0;0
MHS358;1;2.745.805.314.370.960;2.669.628.981.982.340;2.566.638.512.685.770;2.387.116.091.621.190;97;74;4;2;0;0;1
MHS359;0;3.268.188.926.300.850;3.183.282.878.596.560;25.765.438.358.415.100;38.599.231.055.512.900;134;106;2;1;0;0;1
MHS360;1;28.205.767.915.435.400;30.283.142.259.060.800;3.066.575.605.712.140;31.507.102.577.583.800;133;105;1;1;0;0;1
MHS361;0;34.292.255.583.283.300;2.882.689.715.021.290;30.191.189.974.800.100;2.275.704.292.683.220;122;122;1;5;0;0;1
MHS362;0;2.546.715.059.111.430;3.854.693.033.278.850;2.868.721.883.216.280;31.820.335.142.842.000;95;68;4;0;1;1;1
MHS363;0;3.622.249.038.010.520;30.660.104.613.087.700;31.807.210.184.736.600;31.691.733.334.607.900;120;99;1;5;0;0;1
MHS364;0;25.999.807.178.011.700;29.682.377.126.923.200;36.187.190.673.420.600;2.771.349.172.456.600;120;105;2;5;1;1;1
MHS365;0;32.480.824.527.989.600;3.022.133.986.674.550;3.095.769.649.722.410;2.720.128.763.202.250;114;97;2;4;0;1;1
MHS366;0;29.664.964.290.282.400;2.714.312.889.275.040;30.755.061.452.789.000;28.583.662.455.802.600;109;83;3;5;1;0;1
MHS367;1;3.448.533.098.443.560;3.637.437.520.639.360;33.257.609.956.697.500;2.431.157.164.787.590;118;110;4;3;1;0;1
MHS368;1;2.632.913.100.610.750;30.409.977.782.067.800;32.286.402.023.076.200;37.279.111.610.733.800;114;85;3;1;1;0;1
MHS369;0;35.371.236.169.723.300;37.630.931.586.808.300;26.396.801.640.840.200;326.441.565.090.651;78;51;2;4;1;0;1
MHS370;1;32.707.037.844.362.900;3.720.858.380.475.020;339.206.379.543.235;31.552.956.294.363.500;131;122;4;1;0;0;0
MHS371;0;25.761.830.356.904.500;26.739.555.557.034.600;2.455.183.481.328.800;26.076.190.459.361.400;128;127;2;5;1;1;1
MHS372;1;31.896.404.359.113.200;38.045.370.862.366.400;24.798.541.358.861.900;31.202.124.384.193.900;92;75;2;0;1;1;1
MHS373;1;4.0;3.265.995.303.805.900;2.593.493.939.139.810;3.366.994.613.709.280;114;87;1;1;1;0;1
MHS374;0;2.237.035.140.613.700;3.308.937.400.232.280;35.222.569.931.217.300;32.685.892.138.128.800;73;51;3;5;1;1;1
MHS375;1;2.525.287.836.637.110;3.717.367.489.832.170;27.699.618.729.332.500;2.966.806.191.205.010;132;111;2;4;0;1;1
MHS376;0;32.227.694.232.645.000;355.559.967.832.664;3.186.416.495.899.310;3.235.257.380.880.400;125;112;3;4;0;1;1
MHS377;0;31.675.290.145.420.500;31.580.779.785.913.800;3.234.633.794.904.260;2.232.213.938.396.440;107;92;3;3;1;0;1
MHS378;0;3.378.394.339.993.490;3.306.234.397.006.800;24.916.584.357.117.500;28.779.597.631.628.900;144;118;1;2;1;0;1
MHS379;1;35.408.833.638.364.100;23.438.904.032.842.900;33.110.349.951.530.200;3.664.466.659.767.700;101;79;3;2;1;0;1
MHS380;0;34.833.802.313.044.700;31.652.866.963.127.100;3.816.974.091.761.820;3.877.387.772.423.290;130;102;3;2;0;1;1
MHS381;1;3.116.873.588.211.450;24.640.125.418.629.100;35.272.967.581.135.200;3.099.451.331.075.160;80;67;2;3;0;0;1
MHS382;0;2.0;2.321.104.552.371.060;35.704.277.478.108.200;2.990.753.705.803.470;111;92;2;0;1;0;1
MHS383;1;3.977.078.716.875.140;27.471.266.478.690.300;24.705.462.064.717;37.408.317.012.312.900;144;124;4;4;0;0;1
MHS384;0;3.505.731.517.704.170;36.707.379.577.654.400;2.628.757.883.730.800;27.573.470.823.160.600;133;127;4;0;0;1;0
MHS385;1;3.046.539.936.269.720;27.328.434.988.619.100;3.318.685.988.793.890;2.966.558.730.771.430;119;100;2;0;0;0;1
MHS386;0;20.033.905.882.946.900;2.0;32.948.047.733.460.100;3.133.456.038.244.690;97;74;2;5;0;0;1
MHS387;1;21.726.358.617.950.000;32.693.990.793.846.300;30.755.552.186.424.000;338.263.821.918.238;141;130;4;2;1;1;1
MHS388;1;31.033.232.190.491.600;336.924.541.630.317;34.050.403.259.545.900;24.610.629.485.156.300;76;61;1;2;0;1;1
MHS389;1;36.064.104.925.159.300;27.482.822.204.194;26.983.960.519.411.800;2.681.737.138.412.190;126;119;3;4;1;1;1
MHS390;1;2.589.939.139.951.890;2.032.117.226.394.380;38.184.128.450.562.200;24.970.936.648.189.400;111;82;1;2;1;0;1
MHS391;1;2.911.612.918.442.100;22.256.908.505.681.200;2.754.423.126.428.940;28.575.622.533.151.600;121;107;1;3;0;0;1
MHS392;1;32.716.483.320.411.400;23.910.381.866.174.400;27.756.417.156.674.500;35.452.171.706.995.500;105;77;1;3;0;1;1
MHS393;1;3.099.648.654.996.030;31.433.649.195.418.900;2.755.575.078.628.610;2.860.783.558.680.570;100;78;3;3;1;1;1
MHS394;1;3.118.208.931.179.960;24.684.910.042.115.000;24.171.642.048.556.600;30.090.208.243.170.400;113;98;4;5;0;0;1
MHS395;0;2.057.116.540.622.870;2.803.099.065.778.240;24.070.697.264.348.900;2.0;82;58;4;1;0;1;1
MHS396;1;2.460.462.249.966.010;32.945.696.795.139.800;37.584.064.335.649.300;3.178.919.174.335.510;109;90;2;2;0;1;1
MHS397;0;2.973.797.774.711.260;38.520.527.581.277.400;36.234.458.577.673.500;29.689.979.953.169.800;140;116;3;1;1;0;1
MHS398;0;3.781.444.384.254.090;2.863.003.459.085.340;2.878.308.010.312.490;285.008.090.186.256;75;57;1;0;1;1;1
MHS399;1;23.833.655.868.515.600;33.303.616.972.318.700;2.0;3.431.895.912.284.830;101;75;2;5;1;1;1
MHS400;0;2.545.674.852.129.280;26.424.759.085.166.800;3.220.993.003.197.510;2.784.807.261.801.490;91;63;2;5;0;1;1
MHS401;1;28.475.979.552.411.300;33.694.577.355.218.400;32.598.072.299.239.000;38.141.729.796.956.800;138;109;4;0;0;0;1
MHS402;0;3.204.303.653.850.880;2.846.095.764.430.550;25.807.071.007.763.800;25.566.595.388.582.700;82;70;3;1;1;0;1
MHS403;1;23.403.390.431.101.100;2.696.025.776.357.400;3.192.830.000.234.610;2.167.357.666.433.770;146;130;4;1;1;1;1
MHS404;0;26.719.020.225.557.700;2.633.553.557.136.380;2.965.210.895.539.380;344.499.378.110.855;97;73;1;1;1;1;1
MHS405;0;27.368.760.717.412.800;3.694.168.889.104.220;2.807.489.094.143.560;3.191.494.492.370.460;90;75;3;0;1;0;1
MHS406;1;28.113.392.449.408.600;4.0;27.835.495.906.074.200;3.157.224.458.675.980;121;92;1;0;1;0;1
MHS407;1;26.113.049.620.705.400;33.466.623.451.663.000;2.785.827.380.147.060;2.0;147;123;1;2;1;1;1
MHS408;0;237.314.993.505.089;32.313.330.684.099.400;30.495.632.680.773.100;26.782.346.511.478.000;86;86;4;1;0;0;1
MHS409;0;22.827.673.290.751.500;2.471.333.591.412.630;27.839.381.453.379.700;3.782.309.870.580.370;141;133;1;2;0;0;1
MHS410;1;32.527.021.367.154.900;3.097.922.623.505.340;3.347.510.347.544.110;22.688.876.301.550.700;88;65;2;3;1;1;1
